Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
22/08/2025,Bayern Munich,RB Leipzig,6,0,H,19.0,12.0,10.0,1.0,1.22,7.0,9.0,2025-26,Bundesliga,D1
23/08/2025,Ein Frankfurt,Werder Bremen,4,1,H,18.0,10.0,5.0,5.0,1.7,4.1,4.5,2025-26,Bundesliga,D1
23/08/2025,Freiburg,Augsburg,1,3,A,16.0,14.0,4.0,5.0,1.85,3.6,4.33,2025-26,Bundesliga,D1
23/08/2025,Heidenheim,Wolfsburg,1,3,A,7.0,15.0,2.0,5.0,3.2,3.5,2.2,2025-26,Bundesliga,D1
23/08/2025,Leverkusen,Hoffenheim,1,2,A,7.0,10.0,2.0,5.0,1.53,4.75,5.25,2025-26,Bundesliga,D1
23/08/2025,Union Berlin,Stuttgart,2,1,H,8.0,21.0,2.0,6.0,3.4,3.7,2.05,2025-26,Bundesliga,D1
23/08/2025,St Pauli,Dortmund,3,3,D,11.0,8.0,7.0,7.0,4.5,3.9,1.75,2025-26,Bundesliga,D1
24/08/2025,Mainz,FC Koln,0,1,A,19.0,12.0,2.0,2.0,1.9,3.7,4.0,2025-26,Bundesliga,D1
24/08/2025,M'gladbach,Hamburg,0,0,D,17.0,7.0,4.0,2.0,1.85,3.9,3.9,2025-26,Bundesliga,D1
29/08/2025,Hamburg,St Pauli,0,2,A,5.0,17.0,2.0,6.0,2.4,3.3,3.0,2025-26,Bundesliga,D1
30/08/2025,Hoffenheim,Ein Frankfurt,1,3,A,17.0,9.0,5.0,6.0,2.88,3.75,2.25,2025-26,Bundesliga,D1
30/08/2025,RB Leipzig,Heidenheim,2,0,H,19.0,5.0,5.0,3.0,1.44,5.0,6.25,2025-26,Bundesliga,D1
30/08/2025,Stuttgart,M'gladbach,1,0,H,13.0,15.0,5.0,6.0,1.6,4.5,4.75,2025-26,Bundesliga,D1
30/08/2025,Werder Bremen,Leverkusen,3,3,D,12.0,10.0,5.0,4.0,3.7,3.8,1.91,2025-26,Bundesliga,D1
30/08/2025,Augsburg,Bayern Munich,2,3,A,10.0,20.0,3.0,10.0,9.0,6.5,1.27,2025-26,Bundesliga,D1
31/08/2025,Wolfsburg,Mainz,1,1,D,11.0,17.0,3.0,3.0,2.0,3.6,3.5,2025-26,Bundesliga,D1
31/08/2025,Dortmund,Union Berlin,3,0,H,11.0,12.0,6.0,3.0,1.4,5.25,6.5,2025-26,Bundesliga,D1
