Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
15/08/2025,Rennes,Marseille,1,0,H,12,24,5,2,3.5,3.6,2.05,2025-26,Ligue 1,F1
16/08/2025,Lens,Lyon,0,1,A,18,11,5,3,2.3,3.6,2.9,2025-26,Ligue 1,F1
16/08/2025,Monaco,Le Havre,3,1,H,13,9,3,4,1.33,5.25,8.0,2025-26,Ligue 1,F1
16/08/2025,Nice,Toulouse,0,1,A,13,10,2,2,2.1,3.3,3.6,2025-26,Ligue 1,F1
17/08/2025,Brest,Lille,3,3,D,18,10,5,6,3.3,3.4,2.2,2025-26,Ligue 1,F1
17/08/2025,Angers,Paris FC,1,0,H,8,17,2,7,2.63,3.2,2.8,2025-26,Ligue 1,F1
17/08/2025,Auxerre,Lorient,1,0,H,7,14,3,3,2.38,3.3,3.0,2025-26,Ligue 1,F1
17/08/2025,Metz,Strasbourg,0,1,A,2,9,0,4,3.2,3.4,2.25,2025-26,Ligue 1,F1
17/08/2025,Nantes,Paris SG,0,1,A,6,18,0,4,7.5,5.5,1.36,2025-26,Ligue 1,F1
22/08/2025,Paris SG,Angers,1,0,H,21,3,4,0,1.08,12.0,21.0,2025-26,Ligue 1,F1
23/08/2025,Marseille,Paris FC,5,2,H,12,8,7,4,1.38,5.0,7.5,2025-26,Ligue 1,F1
23/08/2025,Nice,Auxerre,3,1,H,16,12,6,8,1.62,4.2,5.0,2025-26,Ligue 1,F1
23/08/2025,Lyon,Metz,3,0,H,13,11,8,2,1.4,5.0,7.0,2025-26,Ligue 1,F1
24/08/2025,Lorient,Rennes,4,0,H,22,5,7,1,2.8,3.3,2.55,2025-26,Ligue 1,F1
24/08/2025,Le Havre,Lens,1,2,A,18,6,6,3,3.75,3.6,1.95,2025-26,Ligue 1,F1
24/08/2025,Strasbourg,Nantes,1,0,H,15,9,4,2,1.75,3.5,5.0,2025-26,Ligue 1,F1
24/08/2025,Toulouse,Brest,2,0,H,6,16,3,2,2.1,3.6,3.3,2025-26,Ligue 1,F1
24/08/2025,Lille,Monaco,1,0,H,18,6,1,1,3.1,3.6,2.2,2025-26,Ligue 1,F1
29/08/2025,Lens,Brest,3,1,H,30,9,10,2,1.85,3.75,4.0,2025-26,Ligue 1,F1
30/08/2025,Lorient,Lille,1,7,A,6,20,2,11,3.4,3.5,2.1,2025-26,Ligue 1,F1
30/08/2025,Nantes,Auxerre,1,0,H,4,14,3,4,2.2,3.4,3.25,2025-26,Ligue 1,F1
30/08/2025,Toulouse,Paris SG,3,6,A,14,13,6,8,8.5,5.25,1.33,2025-26,Ligue 1,F1
31/08/2025,Angers,Rennes,1,1,D,10,15,7,7,3.4,3.5,2.1,2025-26,Ligue 1,F1
31/08/2025,Le Havre,Nice,3,1,H,12,7,8,3,3.6,3.5,2.05,2025-26,Ligue 1,F1
31/08/2025,Monaco,Strasbourg,3,2,H,12,12,4,4,1.55,4.33,5.5,2025-26,Ligue 1,F1
31/08/2025,Paris FC,Metz,3,2,H,24,14,9,2,1.8,3.7,4.33,2025-26,Ligue 1,F1
31/08/2025,Lyon,Marseille,1,0,H,17,5,5,2,2.63,3.6,2.5,2025-26,Ligue 1,F1
12/09/2025,Marseille,Lorient,4,0,H,15,4,8,1,1.38,5.0,7.5,2025-26,Ligue 1,F1
13/09/2025,Nice,Nantes,1,0,H,19,14,8,3,1.67,3.7,5.25,2025-26,Ligue 1,F1
13/09/2025,Auxerre,Monaco,1,2,A,9,13,2,3,5.0,4.33,1.6,2025-26,Ligue 1,F1
14/09/2025,Lille,Toulouse,2,1,H,20,9,5,4,1.75,3.8,4.5,2025-26,Ligue 1,F1
14/09/2025,Brest,Paris FC,1,2,A,23,7,8,4,2.25,3.5,3.1,2025-26,Ligue 1,F1
14/09/2025,Metz,Angers,1,1,D,9,11,5,4,2.25,3.4,3.2,2025-26,Ligue 1,F1
14/09/2025,Paris SG,Lens,2,0,H,14,11,6,3,1.33,5.75,7.5,2025-26,Ligue 1,F1
14/09/2025,Strasbourg,Le Havre,1,0,H,9,10,7,1,1.62,4.0,5.5,2025-26,Ligue 1,F1
14/09/2025,Rennes,Lyon,3,1,H,23,8,5,5,2.63,3.6,2.55,2025-26,Ligue 1,F1
19/09/2025,Lyon,Angers,1,0,H,16,10,5,2,1.44,4.33,7.0,2025-26,Ligue 1,F1
20/09/2025,Nantes,Rennes,2,2,D,16,8,4,4,3.5,3.4,2.1,2025-26,Ligue 1,F1
20/09/2025,Brest,Nice,4,1,H,11,21,5,4,2.63,3.5,2.6,2025-26,Ligue 1,F1
20/09/2025,Lens,Lille,3,0,H,15,17,6,3,2.38,3.5,2.9,2025-26,Ligue 1,F1
21/09/2025,Paris FC,Strasbourg,2,3,A,18,8,6,4,2.35,3.5,2.9,2025-26,Ligue 1,F1
21/09/2025,Auxerre,Toulouse,1,0,H,6,13,1,3,2.75,3.2,2.7,2025-26,Ligue 1,F1
21/09/2025,Le Havre,Lorient,1,1,D,13,8,2,4,2.25,3.5,3.1,2025-26,Ligue 1,F1
21/09/2025,Monaco,Metz,5,2,H,16,8,6,3,1.27,6.0,10.0,2025-26,Ligue 1,F1
22/09/2025,Marseille,Paris SG,1,0,H,9,12,2,5,3.7,4.1,1.9,2025-26,Ligue 1,F1
26/09/2025,Strasbourg,Marseille,1,2,A,9,16,1,9,3.6,3.6,2.0,2025-26,Ligue 1,F1
27/09/2025,Lorient,Monaco,3,1,H,19,5,8,2,5.5,4.1,1.6,2025-26,Ligue 1,F1
27/09/2025,Toulouse,Nantes,2,2,D,20,12,7,2,1.7,3.5,5.5,2025-26,Ligue 1,F1
27/09/2025,Paris SG,Auxerre,2,0,H,15,12,8,3,1.14,8.0,15.0,2025-26,Ligue 1,F1
28/09/2025,Nice,Paris FC,1,1,D,11,13,5,3,1.85,3.75,4.0,2025-26,Ligue 1,F1
28/09/2025,Angers,Brest,0,2,A,11,7,2,3,3.1,3.25,2.38,2025-26,Ligue 1,F1
28/09/2025,Lille,Lyon,0,1,A,14,5,3,2,2.25,3.4,3.2,2025-26,Ligue 1,F1
28/09/2025,Metz,Le Havre,0,0,D,7,11,0,2,2.7,3.2,2.7,2025-26,Ligue 1,F1
28/09/2025,Rennes,Lens,0,0,D,14,13,2,2,2.5,3.4,2.75,2025-26,Ligue 1,F1
03/10/2025,Paris FC,Lorient,2,0,H,10,8,2,3,1.73,3.9,4.5,2025-26,Ligue 1,F1
04/10/2025,Metz,Marseille,0,3,A,4,21,1,9,6.25,5.0,1.45,2025-26,Ligue 1,F1
