Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
23/08/2025,Genoa,Lecce,0,0,D,5,7,2,0,1.9,3.3,4.5,2025-26,Serie A,I1
23/08/2025,Sassuolo,Napoli,0,2,A,7,13,2,4,6.0,4.0,1.57,2025-26,Serie A,I1
23/08/2025,Milan,Cremonese,1,2,A,24,4,6,3,1.33,5.25,9.0,2025-26,Serie A,I1
23/08/2025,Roma,Bologna,1,0,H,14,10,4,2,2.1,3.3,3.5,2025-26,Serie A,I1
24/08/2025,Cagliari,Fiorentina,1,1,D,14,4,6,1,3.25,3.3,2.25,2025-26,Serie A,I1
24/08/2025,Como,Lazio,2,0,H,19,5,6,1,2.4,3.25,3.0,2025-26,Serie A,I1
24/08/2025,Atalanta,Pisa,1,1,D,21,11,6,2,1.4,5.0,7.0,2025-26,Serie A,I1
24/08/2025,Juventus,Parma,2,0,H,25,8,8,2,1.42,4.75,7.5,2025-26,Serie A,I1
25/08/2025,Udinese,Verona,1,1,D,14,9,4,3,1.95,3.3,4.1,2025-26,Serie A,I1
25/08/2025,Inter,Torino,5,0,H,20,12,9,4,1.42,4.75,7.5,2025-26,Serie A,I1
29/08/2025,Cremonese,Sassuolo,3,2,H,11,9,6,6,2.6,3.2,2.75,2025-26,Serie A,I1
29/08/2025,Lecce,Milan,0,2,A,7,14,2,6,6.0,3.9,1.57,2025-26,Serie A,I1
30/08/2025,Bologna,Como,1,0,H,15,13,2,2,2.45,3.1,3.1,2025-26,Serie A,I1
30/08/2025,Parma,Atalanta,1,1,D,7,11,3,3,4.1,3.5,1.91,2025-26,Serie A,I1
30/08/2025,Napoli,Cagliari,1,0,H,20,10,6,1,1.3,5.0,11.0,2025-26,Serie A,I1
30/08/2025,Pisa,Roma,0,1,A,7,10,3,5,5.25,3.6,1.7,2025-26,Serie A,I1
31/08/2025,Genoa,Juventus,0,1,A,10,13,1,3,4.5,3.4,1.85,2025-26,Serie A,I1
31/08/2025,Torino,Fiorentina,0,0,D,7,16,4,4,3.2,3.1,2.4,2025-26,Serie A,I1
31/08/2025,Inter,Udinese,1,2,A,16,10,4,5,1.3,5.25,9.5,2025-26,Serie A,I1
31/08/2025,Lazio,Verona,4,0,H,22,12,6,4,1.48,4.33,7.0,2025-26,Serie A,I1
13/09/2025,Cagliari,Parma,2,0,H,12,17,5,5,2.15,3.2,3.6,2025-26,Serie A,I1
13/09/2025,Juventus,Inter,4,3,H,12,18,4,4,2.75,3.0,2.75,2025-26,Serie A,I1
13/09/2025,Fiorentina,Napoli,1,3,A,19,14,3,9,3.5,3.1,2.25,2025-26,Serie A,I1
14/09/2025,Roma,Torino,0,1,A,22,8,5,4,1.5,4.1,7.0,2025-26,Serie A,I1
14/09/2025,Atalanta,Lecce,4,1,H,19,12,8,3,1.4,4.5,8.5,2025-26,Serie A,I1
14/09/2025,Pisa,Udinese,0,1,A,12,13,2,3,2.75,3.1,2.75,2025-26,Serie A,I1
14/09/2025,Sassuolo,Lazio,1,0,H,10,13,3,3,3.5,3.6,2.05,2025-26,Serie A,I1
14/09/2025,Milan,Bologna,1,0,H,14,5,3,0,1.91,3.4,4.2,2025-26,Serie A,I1
15/09/2025,Verona,Cremonese,0,0,D,20,6,9,2,2.38,3.1,3.2,2025-26,Serie A,I1
15/09/2025,Como,Genoa,1,1,D,13,13,4,6,1.62,3.75,6.0,2025-26,Serie A,I1
19/09/2025,Lecce,Cagliari,1,2,A,11,15,5,6,2.88,2.9,2.75,2025-26,Serie A,I1
