Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
15/08/2025,Girona,Vallecano,1,3,A,7,16,2,5,2.25,3.25,3.3,2025-26,La Liga,SP1
15/08/2025,Villarreal,Oviedo,2,0,H,25,5,10,4,1.4,4.75,8.0,2025-26,La Liga,SP1
16/08/2025,Mallorca,Barcelona,0,3,A,4,24,1,8,7.0,5.0,1.4,2025-26,La Liga,SP1
16/08/2025,Alaves,Levante,2,1,H,15,7,4,3,2.15,3.0,3.8,2025-26,La Liga,SP1
16/08/2025,Valencia,Sociedad,1,1,D,18,13,2,3,2.6,2.9,3.1,2025-26,La Liga,SP1
17/08/2025,Celta,Getafe,0,2,A,11,10,3,3,1.73,3.5,5.25,2025-26,La Liga,SP1
17/08/2025,Ath Bilbao,Sevilla,3,2,H,14,12,3,6,1.57,3.9,6.0,2025-26,La Liga,SP1
17/08/2025,Espanol,Ath Madrid,2,1,H,10,15,5,4,6.0,3.9,1.57,2025-26,La Liga,SP1
18/08/2025,Elche,Betis,1,1,D,6,12,2,4,3.4,3.3,2.2,2025-26,La Liga,SP1
19/08/2025,Real Madrid,Osasuna,1,0,H,18,2,5,0,1.22,6.25,13.0,2025-26,La Liga,SP1
22/08/2025,Betis,Alaves,1,0,H,16,11,5,5,1.91,3.4,4.2,2025-26,La Liga,SP1
23/08/2025,Mallorca,Celta,1,1,D,12,8,4,2,3.0,3.1,2.55,2025-26,La Liga,SP1
23/08/2025,Ath Madrid,Elche,1,1,D,13,6,6,2,1.25,5.25,15.0,2025-26,La Liga,SP1
23/08/2025,Levante,Barcelona,2,3,A,8,26,5,10,11.0,6.0,1.25,2025-26,La Liga,SP1
24/08/2025,Osasuna,Valencia,1,0,H,16,4,4,1,2.4,3.2,3.1,2025-26,La Liga,SP1
24/08/2025,Sociedad,Espanol,2,2,D,15,14,7,3,1.8,3.4,5.0,2025-26,La Liga,SP1
24/08/2025,Villarreal,Girona,5,0,H,19,5,7,2,1.53,4.33,6.0,2025-26,La Liga,SP1
24/08/2025,Oviedo,Real Madrid,0,3,A,6,26,3,10,9.5,5.5,1.3,2025-26,La Liga,SP1
25/08/2025,Ath Bilbao,Vallecano,1,0,H,11,6,4,1,1.7,3.5,5.5,2025-26,La Liga,SP1
25/08/2025,Sevilla,Getafe,1,2,A,12,9,3,6,2.25,3.0,3.6,2025-26,La Liga,SP1
27/08/2025,Celta,Betis,1,1,D,14,7,5,2,2.2,3.4,3.25,2025-26,La Liga,SP1
29/08/2025,Elche,Levante,2,0,H,16,11,5,1,2.15,3.25,3.5,2025-26,La Liga,SP1
29/08/2025,Valencia,Getafe,3,0,H,7,11,4,1,2.3,2.9,3.6,2025-26,La Liga,SP1
30/08/2025,Alaves,Ath Madrid,1,1,D,5,15,2,6,4.75,3.5,1.8,2025-26,La Liga,SP1
30/08/2025,Oviedo,Sociedad,1,0,H,8,18,1,6,3.5,3.1,2.25,2025-26,La Liga,SP1
30/08/2025,Girona,Sevilla,0,2,A,20,13,5,4,2.4,3.3,3.0,2025-26,La Liga,SP1
30/08/2025,Real Madrid,Mallorca,2,1,H,17,9,7,5,1.18,7.0,15.0,2025-26,La Liga,SP1
31/08/2025,Celta,Villarreal,1,1,D,10,8,2,3,2.75,3.5,2.5,2025-26,La Liga,SP1
31/08/2025,Betis,Ath Bilbao,1,2,A,9,15,2,6,3.0,3.1,2.55,2025-26,La Liga,SP1
31/08/2025,Espanol,Osasuna,1,0,H,10,10,4,3,2.38,3.2,3.1,2025-26,La Liga,SP1
31/08/2025,Vallecano,Barcelona,1,1,D,12,12,6,3,6.25,5.5,1.4,2025-26,La Liga,SP1
12/09/2025,Sevilla,Elche,2,2,D,7,5,3,2,1.85,3.4,4.5,2025-26,La Liga,SP1
13/09/2025,Getafe,Oviedo,2,0,H,10,5,3,1,1.95,3.1,4.5,2025-26,La Liga,SP1
13/09/2025,Sociedad,Real Madrid,1,2,A,23,16,4,6,5.0,4.33,1.6,2025-26,La Liga,SP1
13/09/2025,Ath Bilbao,Alaves,0,1,A,12,4,3,2,1.6,3.9,5.75,2025-26,La Liga,SP1
13/09/2025,Ath Madrid,Villarreal,2,0,H,8,8,3,1,1.8,3.7,4.33,2025-26,La Liga,SP1
14/09/2025,Celta,Girona,1,1,D,21,13,7,8,1.73,3.9,4.75,2025-26,La Liga,SP1
14/09/2025,Levante,Betis,2,2,D,5,28,2,9,3.25,3.25,2.3,2025-26,La Liga,SP1
14/09/2025,Osasuna,Vallecano,2,0,H,9,19,7,6,2.55,3.2,2.9,2025-26,La Liga,SP1
14/09/2025,Barcelona,Valencia,6,0,H,24,2,10,1,1.22,7.0,11.0,2025-26,La Liga,SP1
15/09/2025,Espanol,Mallorca,3,2,H,9,24,3,10,2.1,3.4,3.5,2025-26,La Liga,SP1
19/09/2025,Betis,Sociedad,3,1,H,21,11,6,5,1.91,3.6,3.75,2025-26,La Liga,SP1
20/09/2025,Girona,Levante,0,4,A,7,14,1,7,1.91,3.6,4.0,2025-26,La Liga,SP1
20/09/2025,Real Madrid,Espanol,2,0,H,16,8,5,1,1.2,7.0,13.0,2025-26,La Liga,SP1
20/09/2025,Alaves,Sevilla,1,2,A,8,9,5,3,2.25,3.1,3.5,2025-26,La Liga,SP1
20/09/2025,Villarreal,Osasuna,2,1,H,26,6,8,3,1.55,4.33,5.5,2025-26,La Liga,SP1
20/09/2025,Valencia,Ath Bilbao,2,0,H,13,11,5,5,3.0,3.0,2.55,2025-26,La Liga,SP1
21/09/2025,Vallecano,Celta,1,1,D,15,9,5,5,2.3,3.3,3.2,2025-26,La Liga,SP1
21/09/2025,Mallorca,Ath Madrid,1,1,D,8,12,3,7,5.0,3.6,1.75,2025-26,La Liga,SP1
21/09/2025,Elche,Oviedo,1,0,H,15,12,5,4,1.91,3.2,4.5,2025-26,La Liga,SP1
21/09/2025,Barcelona,Getafe,3,0,H,16,3,7,2,1.22,6.5,12.0,2025-26,La Liga,SP1
23/09/2025,Ath Bilbao,Girona,1,1,D,17,6,5,3,1.45,4.33,7.0,2025-26,La Liga,SP1
23/09/2025,Espanol,Valencia,2,2,D,21,5,10,2,2.25,3.1,3.4,2025-26,La Liga,SP1
23/09/2025,Levante,Real Madrid,1,4,A,11,24,2,10,7.5,5.75,1.33,2025-26,La Liga,SP1
23/09/2025,Sevilla,Villarreal,1,2,A,16,12,2,5,3.1,3.4,2.3,2025-26,La Liga,SP1
24/09/2025,Getafe,Alaves,1,1,D,7,10,1,4,2.3,2.9,3.6,2025-26,La Liga,SP1
24/09/2025,Ath Madrid,Vallecano,3,2,H,20,9,8,3,1.5,4.5,6.0,2025-26,La Liga,SP1
24/09/2025,Sociedad,Mallorca,1,0,H,17,7,4,3,1.8,3.4,4.75,2025-26,La Liga,SP1
25/09/2025,Osasuna,Elche,1,1,D,9,12,2,4,1.95,3.25,4.33,2025-26,La Liga,SP1
25/09/2025,Oviedo,Barcelona,1,3,A,7,22,3,10,10.0,5.75,1.25,2025-26,La Liga,SP1
26/09/2025,Girona,Espanol,0,0,D,12,20,3,5,2.45,3.3,2.88,2025-26,La Liga,SP1
27/09/2025,Getafe,Levante,1,1,D,11,11,4,3,2.05,3.1,4.1,2025-26,La Liga,SP1
27/09/2025,Ath Madrid,Real Madrid,5,2,H,13,6,7,2,3.0,3.6,2.3,2025-26,La Liga,SP1
27/09/2025,Mallorca,Alaves,1,0,H,12,12,3,3,2.35,3.0,3.4,2025-26,La Liga,SP1
27/09/2025,Villarreal,Ath Bilbao,1,0,H,14,16,5,4,2.1,3.25,3.7,2025-26,La Liga,SP1
28/09/2025,Vallecano,Sevilla,0,1,A,18,4,6,1,2.0,3.3,4.0,2025-26,La Liga,SP1
28/09/2025,Elche,Celta,2,1,H,17,8,8,2,2.88,3.1,2.6,2025-26,La Liga,SP1
28/09/2025,Barcelona,Sociedad,2,1,H,22,7,12,2,1.27,5.75,10.0,2025-26,La Liga,SP1
28/09/2025,Betis,Osasuna,2,0,H,12,12,6,1,1.75,3.8,4.5,2025-26,La Liga,SP1
30/09/2025,Valencia,Oviedo,1,2,A,16,10,5,4,1.7,3.5,5.5,2025-26,La Liga,SP1
03/10/2025,Osasuna,Getafe,2,1,H,7,6,3,2,2.15,2.9,4.1,2025-26,La Liga,SP1
04/10/2025,Oviedo,Levante,0,2,A,13,14,2,5,2.5,3.3,2.88,2025-26,La Liga,SP1
04/10/2025,Girona,Valencia,2,1,H,4,19,4,6,2.45,3.5,2.8,2025-26,La Liga,SP1
04/10/2025,Ath Bilbao,Mallorca,2,1,H,18,7,5,2,1.53,3.8,7.0,2025-26,La Liga,SP1
04/10/2025,Real Madrid,Villarreal,3,1,H,26,9,7,2,1.45,5.0,6.0,2025-26,La Liga,SP1
05/10/2025,Alaves,Elche,3,1,H,25,6,5,3,2.3,3.1,3.3,2025-26,La Liga,SP1
05/10/2025,Sevilla,Barcelona,4,1,H,13,17,5,8,5.75,5.25,1.45,2025-26,La Liga,SP1
05/10/2025,Espanol,Betis,1,2,A,14,12,5,3,2.63,3.4,2.63,2025-26,La Liga,SP1
05/10/2025,Sociedad,Vallecano,0,1,A,10,7,3,2,2.05,3.6,3.5,2025-26,La Liga,SP1
05/10/2025,Celta,Ath Madrid,1,1,D,18,6,4,1,4.5,3.8,1.75,2025-26,La Liga,SP1
17/10/2025,Oviedo,Espanol,0,2,A,13,19,4,10,3.0,3.1,2.5,2025-26,La Liga,SP1
18/10/2025,Sevilla,Mallorca,1,3,A,13,7,4,6,1.85,3.3,4.75,2025-26,La Liga,SP1
18/10/2025,Barcelona,Girona,2,1,H,27,11,9,4,1.2,7.0,12.0,2025-26,La Liga,SP1
18/10/2025,Villarreal,Betis,2,2,D,7,16,3,3,1.91,3.6,4.0,2025-26,La Liga,SP1
18/10/2025,Ath Madrid,Osasuna,1,0,H,18,9,9,2,1.38,4.75,8.5,2025-26,La Liga,SP1
19/10/2025,Elche,Ath Bilbao,0,0,D,15,4,5,1,3.75,3.25,2.1,2025-26,La Liga,SP1
19/10/2025,Celta,Sociedad,1,1,D,4,17,1,7,2.1,3.4,3.5,2025-26,La Liga,SP1
19/10/2025,Levante,Vallecano,0,3,A,17,10,4,5,2.88,3.25,2.5,2025-26,La Liga,SP1
19/10/2025,Getafe,Real Madrid,0,1,A,7,23,1,10,8.0,4.33,1.42,2025-26,La Liga,SP1
20/10/2025,Alaves,Valencia,0,0,D,13,5,3,2,2.25,3.0,3.6,2025-26,La Liga,SP1
24/10/2025,Sociedad,Sevilla,2,1,H,5,6,3,1,1.95,3.5,3.8,2025-26,La Liga,SP1
25/10/2025,Girona,Oviedo,3,3,D,8,10,6,5,1.8,3.5,4.75,2025-26,La Liga,SP1
25/10/2025,Espanol,Elche,1,0,H,16,13,7,4,1.95,3.25,4.1,2025-26,La Liga,SP1
25/10/2025,Ath Bilbao,Getafe,0,1,A,7,8,4,3,1.67,3.5,6.0,2025-26,La Liga,SP1
25/10/2025,Valencia,Villarreal,0,2,A,15,12,3,5,3.1,3.6,2.2,2025-26,La Liga,SP1
26/10/2025,Mallorca,Levante,1,1,D,20,13,4,5,2.1,3.3,3.6,2025-26,La Liga,SP1
26/10/2025,Real Madrid,Barcelona,2,1,H,23,15,10,6,1.95,4.1,3.3,2025-26,La Liga,SP1
26/10/2025,Osasuna,Celta,2,3,A,17,11,7,5,2.35,3.2,3.2,2025-26,La Liga,SP1
26/10/2025,Vallecano,Alaves,1,0,H,15,12,5,2,2.1,3.1,3.9,2025-26,La Liga,SP1
27/10/2025,Betis,Ath Madrid,0,2,A,17,9,5,4,3.1,3.6,2.2,2025-26,La Liga,SP1
31/10/2025,Getafe,Girona,2,1,H,12,8,4,4,2.15,3.0,3.8,2025-26,La Liga,SP1
01/11/2025,Villarreal,Vallecano,4,0,H,16,13,7,3,1.7,3.8,5.0,2025-26,La Liga,SP1
01/11/2025,Ath Madrid,Sevilla,3,0,H,15,10,6,2,1.33,5.0,9.0,2025-26,La Liga,SP1
01/11/2025,Sociedad,Ath Bilbao,3,2,H,9,11,5,4,2.7,3.0,2.8,2025-26,La Liga,SP1
01/11/2025,Real Madrid,Valencia,4,0,H,21,4,11,1,1.17,8.0,15.0,2025-26,La Liga,SP1
02/11/2025,Levante,Celta,1,2,A,9,20,3,6,2.88,3.4,2.45,2025-26,La Liga,SP1
02/11/2025,Alaves,Espanol,2,1,H,13,18,4,2,2.38,3.0,3.3,2025-26,La Liga,SP1
02/11/2025,Barcelona,Elche,3,1,H,17,9,5,3,1.22,6.25,12.0,2025-26,La Liga,SP1
02/11/2025,Betis,Mallorca,3,0,H,15,14,8,1,1.57,4.2,5.25,2025-26,La Liga,SP1
03/11/2025,Oviedo,Osasuna,0,0,D,8,11,2,5,3.0,3.1,2.5,2025-26,La Liga,SP1
07/11/2025,Elche,Sociedad,1,1,D,12,13,3,5,2.7,3.2,2.7,2025-26,La Liga,SP1
08/11/2025,Girona,Alaves,1,0,H,10,14,2,5,2.4,3.25,3.0,2025-26,La Liga,SP1
08/11/2025,Sevilla,Osasuna,1,0,H,10,9,4,3,2.15,3.3,3.5,2025-26,La Liga,SP1
08/11/2025,Ath Madrid,Levante,3,1,H,25,6,10,3,1.22,6.5,12.0,2025-26,La Liga,SP1
08/11/2025,Espanol,Villarreal,0,2,A,14,9,3,3,2.8,3.5,2.38,2025-26,La Liga,SP1
09/11/2025,Ath Bilbao,Oviedo,1,0,H,21,5,7,2,1.5,3.8,8.0,2025-26,La Liga,SP1
09/11/2025,Vallecano,Real Madrid,0,0,D,13,21,2,5,5.25,5.0,1.5,2025-26,La Liga,SP1
09/11/2025,Mallorca,Getafe,1,0,H,6,14,4,3,2.5,2.9,3.2,2025-26,La Liga,SP1
09/11/2025,Valencia,Betis,1,1,D,17,9,4,2,3.3,3.4,2.2,2025-26,La Liga,SP1
09/11/2025,Celta,Barcelona,2,4,A,5,21,3,9,4.5,4.2,1.65,2025-26,La Liga,SP1
21/11/2025,Valencia,Levante,1,0,H,14,8,3,1,2.0,3.5,3.7,2025-26,La Liga,SP1
22/11/2025,Alaves,Celta,0,1,A,5,7,2,4,2.6,3.0,2.9,2025-26,La Liga,SP1
22/11/2025,Barcelona,Ath Bilbao,4,0,H,19,13,7,2,1.36,5.5,7.0,2025-26,La Liga,SP1
22/11/2025,Osasuna,Sociedad,1,3,A,14,19,4,9,2.8,3.1,2.7,2025-26,La Liga,SP1
22/11/2025,Villarreal,Mallorca,2,1,H,14,9,7,3,1.44,4.75,7.0,2025-26,La Liga,SP1
23/11/2025,Oviedo,Vallecano,0,0,D,8,11,3,3,3.5,3.2,2.2,2025-26,La Liga,SP1
23/11/2025,Betis,Girona,1,1,D,23,11,7,4,1.53,4.33,5.75,2025-26,La Liga,SP1
23/11/2025,Getafe,Ath Madrid,0,1,A,9,13,1,6,5.25,3.5,1.73,2025-26,La Liga,SP1
23/11/2025,Elche,Real Madrid,2,2,D,15,20,6,7,7.0,5.25,1.38,2025-26,La Liga,SP1
24/11/2025,Espanol,Sevilla,2,1,H,8,22,5,6,2.05,3.3,3.8,2025-26,La Liga,SP1
28/11/2025,Getafe,Elche,1,0,H,15,9,6,4,2.25,2.88,3.8,2025-26,La Liga,SP1
29/11/2025,Mallorca,Osasuna,2,2,D,7,14,4,2,2.35,3.0,3.4,2025-26,La Liga,SP1
29/11/2025,Barcelona,Alaves,3,1,H,18,9,6,2,1.2,7.0,13.0,2025-26,La Liga,SP1
29/11/2025,Levante,Ath Bilbao,0,2,A,11,14,4,4,3.5,3.3,2.15,2025-26,La Liga,SP1
29/11/2025,Ath Madrid,Oviedo,2,0,H,14,12,8,1,1.2,6.25,17.0,2025-26,La Liga,SP1
30/11/2025,Sociedad,Villarreal,2,3,A,18,10,7,5,2.8,3.4,2.45,2025-26,La Liga,SP1
30/11/2025,Sevilla,Betis,0,2,A,9,9,3,4,3.0,3.3,2.38,2025-26,La Liga,SP1
30/11/2025,Celta,Espanol,0,1,A,11,9,4,2,2.05,3.5,3.5,2025-26,La Liga,SP1
30/11/2025,Girona,Real Madrid,1,1,D,10,25,4,4,6.5,5.25,1.4,2025-26,La Liga,SP1
01/12/2025,Vallecano,Valencia,1,1,D,19,10,7,2,1.95,3.4,4.1,2025-26,La Liga,SP1
02/12/2025,Barcelona,Ath Madrid,3,1,H,19,7,6,2,1.73,4.2,4.1,2025-26,La Liga,SP1
03/12/2025,Ath Bilbao,Real Madrid,0,3,A,9,13,4,8,4.1,3.9,1.8,2025-26,La Liga,SP1
05/12/2025,Oviedo,Mallorca,0,0,D,15,13,3,6,2.55,3.0,3.0,2025-26,La Liga,SP1
06/12/2025,Villarreal,Getafe,2,0,H,10,6,5,0,1.62,3.8,5.75,2025-26,La Liga,SP1
06/12/2025,Alaves,Sociedad,1,0,H,14,10,3,1,2.8,2.9,2.8,2025-26,La Liga,SP1
06/12/2025,Betis,Barcelona,3,5,A,17,16,5,8,4.0,4.5,1.73,2025-26,La Liga,SP1
06/12/2025,Ath Bilbao,Ath Madrid,1,0,H,14,7,3,3,3.25,3.25,2.25,2025-26,La Liga,SP1
07/12/2025,Elche,Girona,3,0,H,11,8,6,4,2.15,3.3,3.5,2025-26,La Liga,SP1
07/12/2025,Valencia,Sevilla,1,1,D,11,4,3,1,2.15,3.4,3.4,2025-26,La Liga,SP1
07/12/2025,Espanol,Vallecano,1,0,H,9,6,2,2,2.25,3.4,3.2,2025-26,La Liga,SP1
07/12/2025,Real Madrid,Celta,0,2,A,23,7,7,5,1.3,5.5,9.5,2025-26,La Liga,SP1
08/12/2025,Osasuna,Levante,2,0,H,14,11,6,5,1.73,3.8,4.5,2025-26,La Liga,SP1
12/12/2025,Sociedad,Girona,1,2,A,9,14,4,3,1.75,3.9,4.5,2025-26,La Liga,SP1
13/12/2025,Ath Madrid,Valencia,2,1,H,10,13,6,2,1.3,5.0,11.0,2025-26,La Liga,SP1
13/12/2025,Mallorca,Elche,3,1,H,15,9,8,0,2.45,3.1,3.1,2025-26,La Liga,SP1
13/12/2025,Barcelona,Osasuna,2,0,H,24,3,7,2,1.2,7.0,12.0,2025-26,La Liga,SP1
13/12/2025,Getafe,Espanol,0,1,A,11,6,1,4,2.5,2.8,3.25,2025-26,La Liga,SP1
14/12/2025,Sevilla,Oviedo,4,0,H,13,5,7,1,1.91,3.4,4.2,2025-26,La Liga,SP1
14/12/2025,Celta,Ath Bilbao,2,0,H,5,14,2,2,2.63,3.25,2.75,2025-26,La Liga,SP1
14/12/2025,Alaves,Real Madrid,1,2,A,6,13,2,6,5.5,4.0,1.6,2025-26,La Liga,SP1
15/12/2025,Vallecano,Betis,0,0,D,23,13,7,6,2.55,3.4,2.75,2025-26,La Liga,SP1
19/12/2025,Valencia,Mallorca,1,1,D,17,4,2,2,1.9,3.0,4.0,2025-26,La Liga,SP1
20/12/2025,Oviedo,Celta,0,0,D,10,6,3,2,3.6,3.4,2.05,2025-26,La Liga,SP1
20/12/2025,Levante,Sociedad,1,1,D,13,18,3,6,3.4,3.4,2.15,2025-26,La Liga,SP1
20/12/2025,Osasuna,Alaves,3,0,H,16,7,7,3,2.2,3.0,3.7,2025-26,La Liga,SP1
20/12/2025,Real Madrid,Sevilla,2,0,H,18,14,8,5,1.2,7.0,12.0,2025-26,La Liga,SP1
21/12/2025,Girona,Ath Madrid,0,3,A,9,14,2,6,5.0,4.0,1.67,2025-26,La Liga,SP1
21/12/2025,Villarreal,Barcelona,0,2,A,14,19,5,5,3.4,4.75,1.83,2025-26,La Liga,SP1
